dst,absolutetrust_score
546,7.601365669517725e-05
547,1.2556746097302373e-05
548,4.166433639113e-06
549,7.357243904818943e-07
550,0.0001179455282875805
551,0.0
552,4.1723934804021714e-05
553,1.3541053104331132e-06
554,3.690325552830719e-07
555,7.498201099520787e-07
556,1.4307381577955278e-06
557,9.52266621994309e-06
558,0.01955005910927897
559,0.00010225185451059708
560,5.95214404963473e-06
561,1.2450260490754407e-06
562,1.3209731927921258e-06
563,0.00015964468758878514
564,3.6626253055080238e-06
565,7.165515928165336e-07
566,6.412043790010767e-06
567,0.0004717732745533608
569,0.00048654374436038104
570,1.1280349855085673e-06
571,4.694330346792858e-08
572,6.145280517661531e-07
573,4.833593585465107e-08
574,1.946444150988213e-07
575,0.03868080364478898
576,5.817805336875562e-06
577,4.98946899888239e-06
578,0.004665426996913048
579,0.0003989595727975702
580,6.5836987452287025e-06
581,5.428538887118112e-06
582,4.990126064333674e-07
583,5.0374824676268025e-05
584,4.637598620460659e-06
585,4.435067075752986e-06
586,5.643988553836583e-05
587,1.0997483206541125e-05
588,2.8979109148878195e-06
589,1.250746556087505e-05
590,3.304630794795564e-05
591,0.00039854625010566844
592,0.00027217220691740454
593,0.00037941052434539447
594,0.0007771724269472899
595,3.043428372657313e-07
596,1.4516283679616293e-05
597,3.983684506965807e-07
598,2.2970320679199563e-06
599,3.317991794129501e-07
600,6.5836987452287025e-06
601,6.5836987452287025e-06
602,6.5836987452287025e-06
603,7.069424994952405e-06
604,4.708085891267753e-07
605,0.0003960648513666272
606,1.590986067982722e-05
607,3.948577713650958e-07
608,4.156771983709837e-05
609,3.317991794129501e-07
610,0.00021121894466301334
611,6.5836987452287025e-06
612,0.0014911125335193628
613,4.854023292668426e-07
614,1.6810327318907463e-07
615,7.914215958788342e-06
616,0.00022691564805572218
617,2.5929762739673716e-06
618,9.409286951544372e-06
619,0.0008037878343711314
620,0.0005572876754452912
621,0.00017247941428848474
622,6.5836987452287025e-06
623,1.8714318631221296e-05
624,1.2068432012070303e-05
625,0.0001369337380390196
626,0.00015970075320234994
627,1.6581380763845099e-06
628,9.756346438615324e-05
629,5.886434025355295e-06
630,6.414849792203754e-05
631,5.575056850430292e-07
632,3.958056194512628e-06
633,8.252506895574158e-06
634,5.398453611034716e-05
635,5.7813226602952274e-05
636,5.041201262452418e-06
637,6.39916378398157e-07
638,9.183739386515027e-07
639,3.9013432506529584e-06
640,0.00013418629421106844
641,2.127746146839897e-07
642,1.6762197826136162e-05
643,6.454006778540869e-06
644,4.571526518878683e-06
645,0.0
646,1.946444150988213e-07
647,6.288176963931376e-05
648,5.599586457141872e-06
649,6.361928476803908e-07
650,5.5094206908040295e-06
651,5.502379388338096e-06
652,1.2711444283222243e-05
653,1.3846429070563485e-05
654,0.00011741329128848684
655,9.962619943465169e-06
656,5.418364537401323e-06
657,1.946444150988213e-07
658,3.1600607930414945e-06
659,1.6647430653871537e-05
660,8.577709022577539e-07
661,1.2472576181047694e-06
662,2.0987812893416607e-07
663,3.3200804234229558e-06
664,7.432471125191891e-05
665,8.164952599897893e-07
666,6.146067862424246e-06
667,3.840951364712048e-06
668,9.34968365555857e-06
